IO, 03, 2025102312,   , BEST,   0, 103N,  920E,  15, 1009, DB, 
IO, 03, 2025102318,   , BEST,   0, 105N,  914E,  15, 1006, DB, 
IO, 03, 2025102400,   , BEST,   0, 106N,  906E,  20, 1009, DB,  
IO, 03, 2025102406,   , BEST,   0, 106N,  902E,  25, 1004, TD,  
IO, 03, 2025102412,   , BEST,   0, 106N,  899E,  25, 1003, TD,  
IO, 03, 2025102418,   , BEST,   0, 105N,  894E,  25,  996, TD,  
IO, 03, 2025102500,   , BEST,   0, 108N,  891E,  25,  996, TD,  
IO, 03, 2025102506,   , BEST,   0, 111N,  886E,  25,  996, TD,  
IO, 03, 2025102512,   , BEST,   0, 104N,  878E,  30,  996, TD,  
IO, 03, 2025102518,   , BEST,   0, 107N,  876E,  35,  996, TD,  
IO, 03, 2025102600,   , BEST,   0, 110N,  875E,  40,  996, TD,  
IO, 03, 2025102606,   , BEST,   0, 113N,  871E,  60,  997, TD,  
IO, 03, 2025102612,   , BEST,   0, 113N,  861E,  65,  998, TY,  
IO, 03, 2025102618,   , BEST,   0, 115N,  857E,  70,  970, TY, 
IO, 03, 2025102700,   , BEST,   0, 125N,  851E,  65,  999, TY,  
IO, 03, 2025102706,   , BEST,   0, 128N,  843E,  65,  999, TY,  
IO, 03, 2025102712,   , BEST,   0, 133N,  840E,  65,  996, TY,
IO, 03, 2025102718,   , BEST,   0, 141N,  834E,  60,  997, TS,
IO, 03, 2025102800,   , BEST,   0, 146N,  831E,  55,  996, TS, 
IO, 03, 2025102806,   , BEST,   0, 152N,  826E,  60,  997, TS, 
IO, 03, 2025102812,   , BEST,   0, 159N,  818E,  65,  995, TY, 
IO, 03, 2025102818,   , BEST,   0, 162N,  815E,  65,  998, TY, 
IO, 03, 2025102900,   , BEST,   0, 168N,  814E,  45, 1000, TS,  
IO, 03, 2025102906,   , BEST,   0, 175N,  809E,  35, 1000, TS,  
IO, 03, 2025102912,   , BEST,   0, 184N,  803E,  30, 1000, TD,  
IO, 03, 2025102918,   , BEST,   0, 196N,  795E,  25, 1000, TD, 
IO, 03, 2025103000,   , BEST,   0, 205N,  795E,  20, 1000, DB,  
IO, 03, 2025103006,   , BEST,   0, 210N,  797E,  20, 1000, DB, 
IO, 03, 2025103012,   , BEST,   0, 220N,  798E,  20, 1000, DB,  
IO, 03, 2025103018,   , BEST,   0, 227N,  804E,  20, 1000, DB,
