AL, 05, 2025080812,   , BEST,   0,  95N,  135W,  25,    0, DB, 
AL, 05, 2025080818,   , BEST,   0,  97N,  143W,  25,    0, DB, 
AL, 05, 2025080900,   , BEST,   0,  99N,  152W,  25, 1008, DB,
AL, 05, 2025080906,   , BEST,   0, 100N,  161W,  25, 1007, DB,  
AL, 05, 2025080912,   , BEST,   0, 101N,  170W,  25, 1006, DB,  
AL, 05, 2025080918,   , BEST,   0, 106N,  180W,  25, 1006, DB, 
AL, 05, 2025081000,   , BEST,   0, 116N,  190W,  25, 1006, DB, 
AL, 05, 2025081006,   , BEST,   0, 125N,  199W,  25, 1006, DB, 
AL, 05, 2025081012,   , BEST,   0, 140N,  203W,  30, 1006, LO, 
AL, 05, 2025081018,   , BEST,   0, 157N,  215W,  30, 1006, LO,  
AL, 05, 2025081100,   , BEST,   0, 165N,  234W,  30, 1006, LO,  
AL, 05, 2025081106,   , BEST,   0, 172N,  252W,  30, 1006, LO,  
AL, 05, 2025081112,   , BEST,   0, 173N,  273W,  40, 1004, TS,
AL, 05, 2025081118,   , BEST,   0, 174N,  293W,  40, 1004, TS, 
AL, 05, 2025081200,   , BEST,   0, 176N,  313W,  40, 1004, TS, 
AL, 05, 2025081206,   , BEST,   0, 175N,  333W,  40, 1004, TS,  
AL, 05, 2025081212,   , BEST,   0, 173N,  354W,  40, 1006, TS, 
AL, 05, 2025081218,   , BEST,   0, 171N,  374W,  40, 1006, TS,  
AL, 05, 2025081300,   , BEST,   0, 168N,  393W,  40, 1004, TS, 
AL, 05, 2025081306,   , BEST,   0, 166N,  410W,  40, 1004, TS,  
AL, 05, 2025081312,   , BEST,   0, 164N,  427W,  45, 1002, TS,
AL, 05, 2025081318,   , BEST,   0, 163N,  443W,  45, 1002, TS, 
AL, 05, 2025081400,   , BEST,   0, 163N,  459W,  45, 1002, TS,
AL, 05, 2025081406,   , BEST,   0, 163N,  475W,  45, 1002, TS, 
AL, 05, 2025081412,   , BEST,   0, 163N,  489W,  55,  999, TS, 
AL, 05, 2025081418,   , BEST,   0, 166N,  504W,  65,  998, HU, 
AL, 05, 2025081500,   , BEST,   0, 169N,  519W,  95,  998, HU, 
AL, 05, 2025081506,   , BEST,   0, 175N,  537W, 110,  998, HU,
AL, 05, 2025081512,   , BEST,   0, 180N,  553W, 125,  998, HU, 
AL, 05, 2025081518,   , BEST,   0, 187N,  568W, 135,  993, HU,   
AL, 05, 2025081600,   , BEST,   0, 194N,  586W, 145,  981, HU,   
AL, 05, 2025081606,   , BEST,   0, 196N,  604W, 155,  970, HU,  
AL, 05, 2025081612,   , BEST,   0, 196N,  621W, 150,  934, HU,  
AL, 05, 2025081618,   , BEST,   0, 198N,  634W, 155,  915, HU,  
AL, 05, 2025081700,   , BEST,   0, 200N,  645W, 155,  895, HU,  
AL, 05, 2025081706,   , BEST,   0, 203N,  659W, 155,  940, HU,  
AL, 05, 2025081712,   , BEST,   0, 207N,  670W, 140,  940, HU,  
AL, 05, 2025081718,   , BEST,   0, 215N,  680W, 135,  946, HU,  
AL, 05, 2025081800,   , BEST,   0, 221N,  688W, 120,  946, HU,  
AL, 05, 2025081806,   , BEST,   0, 225N,  698W, 115,  945, HU,  
AL, 05, 2025081812,   , BEST,   0, 229N,  705W, 120,  935, HU,
AL, 05, 2025081818,   , BEST,   0, 236N,  710W, 120,  937, HU,  
AL, 05, 2025081900,   , BEST,   0, 240N,  714W, 110,  947, HU, 
AL, 05, 2025081906,   , BEST,   0, 245N,  718W, 100,  955, HU, 
AL, 05, 2025081912,   , BEST,   0, 252N,  721W,  90,  958, HU,  
AL, 05, 2025081918,   , BEST,   0, 261N,  725W,  90,  958, HU,   
AL, 05, 2025082000,   , BEST,   0, 272N,  728W,  90,  959, HU,  
AL, 05, 2025082006,   , BEST,   0, 283N,  732W,  85,  954, HU,  
AL, 05, 2025082012,   , BEST,   0, 296N,  737W, 105,  945, HU, 
AL, 05, 2025082018,   , BEST,   0, 307N,  736W, 115,  943, HU,  
AL, 05, 2025082100,   , BEST,   0, 321N,  733W, 105,  941, HU, 
AL, 05, 2025082106,   , BEST,   0, 336N,  726W,  90,  945, HU, 
AL, 05, 2025082112,   , BEST,   0, 349N,  717W,  90,  949, HU,  
AL, 05, 2025082118,   , BEST,   0, 359N,  701W,  85,  952, HU,    
AL, 05, 2025082200,   , BEST,   0, 369N,  684W,  85,  952, HU,  
AL, 05, 2025082206,   , BEST,   0, 379N,  665W,  85,  956, HU, 
AL, 05, 2025082212,   , BEST,   0, 385N,  646W,  85,  956, HU,  
AL, 05, 2025082218,   , BEST,   0, 394N,  614W,  80,  957, EX,  
AL, 05, 2025082300,   , BEST,   0, 407N,  578W,  80,  957, EX, 
