WP, 21, 2025083100,   , BEST,   0, 127N, 1321E,  15, 1007, DB,
WP, 21, 2025083106,   , BEST,   0, 134N, 1320E,  15, 1005, DB, 
WP, 21, 2025083112,   , BEST,   0, 143N, 1318E,  15, 1005, DB, 
WP, 21, 2025083118,   , BEST,   0, 152N, 1312E,  15, 1005, DB,  
WP, 21, 2025090100,   , BEST,   0, 161N, 1307E,  15, 1005, DB,  
WP, 21, 2025090106,   , BEST,   0, 169N, 1307E,  15, 1005, DB, 
WP, 21, 2025090112,   , BEST,   0, 178N, 1310E,  15, 1005, DB, 
WP, 21, 2025090118,   , BEST,   0, 185N, 1313E,  15, 1005, DB,  
WP, 21, 2025090200,   , BEST,   0, 197N, 1316E,  15, 1005, DB, 
WP, 21, 2025090206,   , BEST,   0, 206N, 1317E,  20, 1005, DB, 
WP, 21, 2025090212,   , BEST,   0, 213N, 1320E,  20, 1005, DB, 
WP, 21, 2025090218,   , BEST,   0, 227N, 1324E,  20, 1004, DB,  
WP, 21, 2025090300,   , BEST,   0, 242N, 1325E,  20, 1004, DB, 
WP, 21, 2025090306,   , BEST,   0, 256N, 1320E,  25, 1004, TD, 
WP, 21, 2025090312,   , BEST,   0, 270N, 1315E,  30, 1002, TD,  
WP, 21, 2025090318,   , BEST,   0, 281N, 1311E,  30, 1002, TD, 
WP, 21, 2025090400,   , BEST,   0, 296N, 1310E,  30,  999, TD, 
WP, 21, 2025090406,   , BEST,   0, 310N, 1315E,  35,  996, TS, 
WP, 21, 2025090412,   , BEST,   0, 323N, 1320E,  35,  997, TS,
WP, 21, 2025090418,   , BEST,   0, 333N, 1332E,  35, 1000, TS, 
WP, 21, 2025090500,   , BEST,   0, 340N, 1358E,  40,  998, TS,  
WP, 21, 2025090506,   , BEST,   0, 349N, 1393E,  45,  992, TS, 
WP, 21, 2025090512,   , BEST,   0, 356N, 1427E,  50,  990, TS,
WP, 21, 2025090518,   , BEST,   0, 360N, 1468E,  55,  990, EX,  
WP, 21, 2025090600,   , BEST,   0, 358N, 1499E,  55,  990, EX, 
WP, 21, 2025090606,   , BEST,   0, 353N, 1529E,  55,  990, EX, 
WP, 21, 2025090612,   , BEST,   0, 349N, 1556E,  50,  990, EX,  
WP, 21, 2025090618,   , BEST,   0, 348N, 1577E,  50,  985, EX,    
WP, 21, 2025090700,   , BEST,   0, 349N, 1596E,  45,  986, EX,  
WP, 21, 2025090706,   , BEST,   0, 350N, 1615E,  40,  986, EX,  
WP, 21, 2025090712,   , BEST,   0, 355N, 1629E,  35,  986, EX,  
WP, 21, 2025090718,   , BEST,   0, 357N, 1642E,  35,  996, EX,  
WP, 21, 2025090800,   , BEST,   0, 358N, 1658E,  35, 1000, EX,  
WP, 21, 2025090806,   , BEST,   0, 364N, 1674E,  35, 1000, EX, 
WP, 21, 2025090812,   , BEST,   0, 370N, 1689E,  35, 1000, EX,  
WP, 21, 2025090818,   , BEST,   0, 378N, 1704E,  35, 1000, EX, 
WP, 21, 2025090900,   , BEST,   0, 383N, 1715E,  35, 1000, EX, 
WP, 21, 2025090906,   , BEST,   0, 388N, 1728E,  30, 1008, EX, 
WP, 21, 2025090912,   , BEST,   0, 392N, 1743E,  25, 1010, EX,
