WP, 06, 2025070912,   , BEST,   0, 187N, 1423E,  15, 1006, DB, 
WP, 06, 2025070918,   , BEST,   0, 194N, 1422E,  20, 1006, DB,
WP, 06, 2025071000,   , BEST,   0, 205N, 1421E,  20, 1006, DB, 
WP, 06, 2025071006,   , BEST,   0, 222N, 1421E,  25, 1006, DB, 
WP, 06, 2025071012,   , BEST,   0, 232N, 1418E,  30, 1006, DB, 
WP, 06, 2025071018,   , BEST,   0, 243N, 1411E,  30, 1004, TD, 
WP, 06, 2025071100,   , BEST,   0, 250N, 1404E,  30, 1004, TD, 
WP, 06, 2025071106,   , BEST,   0, 250N, 1400E,  30, 1004, TD, 
WP, 06, 2025071112,   , BEST,   0, 251N, 1402E,  30, 1004, TD, 
WP, 06, 2025071118,   , BEST,   0, 252N, 1400E,  35, 1004, TS, 
WP, 06, 2025071200,   , BEST,   0, 251N, 1407E,  35, 1003, TS,
WP, 06, 2025071206,   , BEST,   0, 248N, 1413E,  35,  999, TS,
WP, 06, 2025071212,   , BEST,   0, 250N, 1415E,  35,  998, TS, 
WP, 06, 2025071218,   , BEST,   0, 255N, 1422E,  35,  998, TS,
WP, 06, 2025071300,   , BEST,   0, 263N, 1425E,  35,  997, TS,
WP, 06, 2025071306,   , BEST,   0, 276N, 1430E,  40,  997, TS,
WP, 06, 2025071312,   , BEST,   0, 304N, 1431E,  50,  985, TS,
WP, 06, 2025071318,   , BEST,   0, 324N, 1426E,  55,  984, TS,
WP, 06, 2025071400,   , BEST,   0, 341N, 1422E,  45,  983, TS,
WP, 06, 2025071406,   , BEST,   0, 368N, 1425E,  45,  983, TS,
WP, 06, 2025071412,   , BEST,   0, 397N, 1425E,  40,  985, TS,
WP, 06, 2025071418,   , BEST,   0, 425N, 1436E,  35,  993, TS,
WP, 06, 2025071500,   , BEST,   0, 453N, 1444E,  30,  998, EX,
WP, 06, 2025071506,   , BEST,   0, 472N, 1472E,  30,  998, EX,
WP, 06, 2025071512,   , BEST,   0, 482N, 1513E,  25,  998, EX, 
