WP, 32, 2025110212,   , BEST,   0,  71N, 1485E,  15, 1009, DB,  
WP, 32, 2025110218,   , BEST,   0,  81N, 1479E,  15, 1006, DB, 
WP, 32, 2025110300,   , BEST,   0,  88N, 1470E,  15, 1006, DB, 
WP, 32, 2025110306,   , BEST,   0,  90N, 1466E,  15, 1006, DB, 
WP, 32, 2025110312,   , BEST,   0,  87N, 1455E,  20, 1005, DB, 
WP, 32, 2025110318,   , BEST,   0,  79N, 1446E,  20, 1004, DB, 
WP, 32, 2025110400,   , BEST,   0,  74N, 1450E,  25,  999, TD, 
WP, 32, 2025110406,   , BEST,   0,  70N, 1440E,  25, 1000, TD, 
WP, 32, 2025110412,   , BEST,   0,  70N, 1433E,  35, 1000, TS, 
WP, 32, 2025110418,   , BEST,   0,  73N, 1431E,  55, 1000, TS, 
WP, 32, 2025110500,   , BEST,   0,  78N, 1432E,  70,  999, TY,
WP, 32, 2025110506,   , BEST,   0,  85N, 1429E, 120,  998, TY, 
WP, 32, 2025110512,   , BEST,   0,  93N, 1422E, 115,  998, TY, 
WP, 32, 2025110518,   , BEST,   0,  97N, 1413E,  95,  996, TY,
WP, 32, 2025110600,   , BEST,   0,  98N, 1406E,  85,  996, TY,  
WP, 32, 2025110606,   , BEST,   0, 100N, 1399E,  70,  992, TY, 
WP, 32, 2025110612,   , BEST,   0, 103N, 1392E,  60,  995, TS, 
WP, 32, 2025110618,   , BEST,   0, 107N, 1386E,  45,  993, TS, 
WP, 32, 2025110700,   , BEST,   0, 113N, 1378E,  55,  991, TS, 
WP, 32, 2025110706,   , BEST,   0, 117N, 1367E,  60,  985, TS, 
WP, 32, 2025110712,   , BEST,   0, 120N, 1354E,  65,  982, TY, 
WP, 32, 2025110718,   , BEST,   0, 122N, 1339E,  85,  980, TY,  
WP, 32, 2025110800,   , BEST,   0, 125N, 1323E, 120,  975, TY, 
WP, 32, 2025110806,   , BEST,   0, 129N, 1304E, 130,  971, TY, 
WP, 32, 2025110812,   , BEST,   0, 133N, 1284E, 150,  970, TY, 
WP, 32, 2025110818,   , BEST,   0, 138N, 1265E, 155,  895, TY, 
WP, 32, 2025110900,   , BEST,   0, 142N, 1248E, 140,  949, TY,  
WP, 32, 2025110906,   , BEST,   0, 148N, 1232E, 125,  943, TY,  
WP, 32, 2025110912,   , BEST,   0, 159N, 1220E, 115,  945, TY, 
WP, 32, 2025110918,   , BEST,   0, 165N, 1203E, 105,  959, TY,  
WP, 32, 2025111000,   , BEST,   0, 168N, 1194E,  85,  967, TY,
WP, 32, 2025111006,   , BEST,   0, 173N, 1189E,  70,  979, TY, 
WP, 32, 2025111012,   , BEST,   0, 177N, 1187E,  65,  978, TY,  
WP, 32, 2025111018,   , BEST,   0, 185N, 1184E,  50,  977, TY, 
WP, 32, 2025111100,   , BEST,   0, 194N, 1184E,  55,  982, TS, 
WP, 32, 2025111106,   , BEST,   0, 200N, 1186E,  55,  986, TS, 
WP, 32, 2025111112,   , BEST,   0, 206N, 1188E,  50,  990, TS,  
WP, 32, 2025111118,   , BEST,   0, 210N, 1190E,  50,  991, TS,  
WP, 32, 2025111200,   , BEST,   0, 214N, 1193E,  45,  993, TS, 
WP, 32, 2025111206,   , BEST,   0, 218N, 1198E,  45,  993, TS, 
WP, 32, 2025111212,   , BEST,   0, 222N, 1208E,  40,  997, TS, 
WP, 32, 2025111218,   , BEST,   0, 231N, 1218E,  35, 1001, TS, 
WP, 32, 2025111300,   , BEST,   0, 244N, 1228E,  45, 1001, TS, 
WP, 32, 2025111306,   , BEST,   0, 254N, 1244E,  40, 1003, SS,  
WP, 32, 2025111312,   , BEST,   0, 260N, 1266E,  35, 1004, SS,  
WP, 32, 2025111318,   , BEST,   0, 259N, 1287E,  25, 1005, SS, 
WP, 32, 2025111400,   , BEST,   0, 255N, 1308E,  20, 1006, EX, 
WP, 32, 2025111406,   , BEST,   0, 254N, 1319E,  20, 1006, EX, 
WP, 32, 2025111412,   , BEST,   0, 252N, 1327E,  20, 1006, EX,
