WP, 20, 2025082706,   , BEST,   0, 153N, 1173E,  20, 1003, DB,  
WP, 20, 2025082712,   , BEST,   0, 151N, 1170E,  20, 1003, DB, 
WP, 20, 2025082718,   , BEST,   0, 150N, 1167E,  20,  998, DB, 
WP, 20, 2025082800,   , BEST,   0, 149N, 1163E,  30, 1002, TD, 
WP, 20, 2025082806,   , BEST,   0, 150N, 1157E,  30, 1001, TD,  
WP, 20, 2025082812,   , BEST,   0, 153N, 1150E,  30, 1001, TD, 
WP, 20, 2025082818,   , BEST,   0, 156N, 1141E,  30, 1001, TD, 
WP, 20, 2025082900,   , BEST,   0, 161N, 1131E,  30, 1001, TD, 
WP, 20, 2025082906,   , BEST,   0, 164N, 1122E,  30, 1000, TD, 
WP, 20, 2025082912,   , BEST,   0, 167N, 1113E,  30,  999, TD, 
WP, 20, 2025082918,   , BEST,   0, 173N, 1094E,  30,  999, TD, 
WP, 20, 2025083000,   , BEST,   0, 176N, 1082E,  40,  998, TS, 
WP, 20, 2025083006,   , BEST,   0, 179N, 1066E,  35,  997, TS, 
WP, 20, 2025083012,   , BEST,   0, 180N, 1046E,  25, 1000, TD, 
WP, 20, 2025083018,   , BEST,   0, 180N, 1025E,  20, 1000, DB, 
WP, 20, 2025083100,   , BEST,   0, 181N,  999E,  15, 1002, DB, 
